Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
7129,Robo Raiders,,12,,red 1,,8231,,Skyhawks,,,9751,,RAMS,,3631,,Middle Earth Mechs,,23,,blue 1,,3480,,FrostByte,8405,,Miller Robotics,,6911,,James Ruse,,34,,red 2,,8911,,Da Vinci Decoders,,,4150,,Dark Matter,,3491,,FIX IT,,52,,blue 2,,5940,,Rockin' Robots,9753,,Technomancers,,5206,,The Knights of Ni,,,75,,blue 2,,5200,,Robots Incorporated,5843,,AutoVortex,,4886,,Robo Junkies,,83,,red 1,,6987,,Hat Trix,,,5026,,Tesla Coils,,6134,,Black Frogs,,101,,blue 1,,4211,,The Bombers,4443,,Sock Monkeys,,542,,WHS Robotics,,,124,,blue 2,,8339,,Galaxy Robotechs,5916,,Bo-Bots,,7182,,Mechanical Paradox,,143,,red 2,,7152,,Robot Squad,,,5391,,Enigma Puzzlers,,3888,,Greased Lightning
7152,Robot Squad,,,3,,blue 1,,3491,,FIX IT,542,,WHS Robotics,,5842,,The Vampires,,,20,,blue 2,,5026,,Tesla Coils,6002,,Basilisks,,7591,,Voltage Imagination,,41,,red 2,,9757,,Team Tulip,,,4251,,Cougar Robotics,,5206,,The Knights of Ni,60,,red 1,,6455,,MoHawk Warriors,,,7398,,BLUE CREW,,6134,,Black Frogs,72,,red 2,,5064,,Aperture Science,,,4997,,Masquerade,,7190,,Green Girls,,86,,blue 1,,4174,,Atomic Theory,9164,,Zorrobots,,5940,,Rockin' Robots,,,97,,blue 2,,6987,,Hat Trix,7953,,Vertigo,,25,,Rock 'n Roll Robots,,127,,red 2,,3113,,Some Disassembly,,,6055,,GearTicks,,5215,,THAT Team,143,,red 1,,7129,,Robo Raiders,,,5391,,Enigma Puzzlers,,3888,,Greased Lightning
7182,Mechanical Paradox,,,11,,blue 2,,4378,,Black Box Robotics,6987,,Hat Trix,,4150,,Dark Matter,,,25,,blue 2,,5972,,Patronum Bots,4443,,Sock Monkeys,,4997,,Masquerade,,45,,red 1,,5064,,Aperture Science,,,7398,,BLUE CREW,,4211,,The Bombers,53,,red 1,,5200,,Robots Incorporated,,,5391,,Enigma Puzzlers,,3631,,Middle Earth Mechs,,65,,blue 2,,3491,,FIX IT,3480,,FrostByte,,3113,,Some Disassembly,,90,,red 2,,6312,,GOLDEN TIGERS,,,4251,,Cougar Robotics,,6022,,To Be Determined,105,,red 1,,4886,,Robo Junkies,,,6565,,Stuffed Dragons,,6002,,Basilisks,124,,red 2,,5916,,Bo-Bots,,,8339,,Galaxy Robotechs,,7129,,Robo Raiders,,135,,blue 1,,4130,,Robotica Santi,6134,,Black Frogs,,8716,,Techaholix,
7190,Green Girls,,,10,,blue 1,,6455,,MoHawk Warriors,9753,,Technomancers,,4886,,Robo Junkies,,24,,red 1,,4290,,High PHidelity,,,8911,,Da Vinci Decoders,,5890,,e-lemon-ators,33,,red 1,,6134,,Black Frogs,,,3480,,FrostByte,,5972,,Patronum Bots,,61,,blue 1,,8339,,Galaxy Robotechs,7953,,Vertigo,,7013,,Hot Wired,,,72,,blue 2,,4997,,Masquerade,5064,,Aperture Science,,7152,,Robot Squad,,96,,red 1,,4924,,Tuxedo Pandas,,,3888,,Greased Lightning,,9751,,RAMS,,104,,blue 2,,4625,,Kings and Queens,4174,,Atomic Theory,,6312,,GOLDEN TIGERS,,,117,,blue 2,,7398,,BLUE CREW,9757,,Team Tulip,,6565,,Stuffed Dragons,,144,,red 2,,5026,,Tesla Coils,,,9755,,HCC-2,,3113,,Some Disassembly
7398,BLUE CREW,,7,,red 2,,8339,,Galaxy Robotechs,,,6022,,To Be Determined,,4290,,High PHidelity,32,,red 1,,6055,,GearTicks,,,4886,,Robo Junkies,,4251,,Cougar Robotics,,45,,blue 1,,4211,,The Bombers,7182,,Mechanical Paradox,,5064,,Aperture Science,,,60,,blue 1,,6134,,Black Frogs,7152,,Robot Squad,,6455,,MoHawk Warriors,,,80,,blue 2,,8405,,Miller Robotics,9753,,Technomancers,,8716,,Techaholix,,94,,red 1,,6002,,Basilisks,,,4378,,Black Box Robotics,,5916,,Bo-Bots,107,,red 1,,9751,,RAMS,,,5391,,Enigma Puzzlers,,5257,,Eagles Xperience,,117,,blue 1,,7190,,Green Girls,9757,,Team Tulip,,6565,,Stuffed Dragons,,136,,red 2,,6210,,ViperBots Stryke,,,3491,,FIX IT,,6312,,GOLDEN TIGERS
7591,Voltage Imagination,,,8,,blue 1,,5257,,Eagles Xperience,5843,,AutoVortex,,9164,,Zorrobots,,20,,red 2,,6002,,Basilisks,,,5026,,Tesla Coils,,7152,,Robot Squad,,37,,blue 1,,6911,,James Ruse,4130,,Robotica Santi,,4378,,Black Box Robotics,,64,,red 1,,4174,,Atomic Theory,,,9755,,HCC-2,,8716,,Techaholix,77,,red 2,,6565,,Stuffed Dragons,,,7953,,Vertigo,,5890,,e-lemon-ators,,87,,blue 2,,3113,,Some Disassembly,5200,,Robots Incorporated,,5972,,Patronum Bots,,,106,,blue 2,,9753,,Technomancers,5842,,The Vampires,,6109,,Punabots,,114,,red 1,,4290,,High PHidelity,,,6312,,GOLDEN TIGERS,,25,,Rock 'n Roll Robots,131,,red 2,,5110,,Wingus & Dingus,,,4625,,Kings and Queens,,4886,,Robo Junkies
7953,Vertigo,,4,,red 2,,9757,,Team Tulip,,,4211,,The Bombers,,4924,,Tuxedo Pandas,27,,red 1,,4174,,Atomic Theory,,,5843,,AutoVortex,,6210,,ViperBots Stryke,,40,,blue 1,,6312,,GOLDEN TIGERS,4886,,Robo Junkies,,8498,,The Evil Purple Sox,,61,,red 1,,7013,,Hot Wired,,,7190,,Green Girls,,8339,,Galaxy Robotechs,,77,,blue 1,,5890,,e-lemon-ators,6565,,Stuffed Dragons,,7591,,Voltage Imagination,,,85,,blue 2,,5206,,The Knights of Ni,8911,,Da Vinci Decoders,,4997,,Masquerade,,97,,red 1,,25,,Rock 'n Roll Robots,,,6987,,Hat Trix,,7152,,Robot Squad,120,,red 2,,4130,,Robotica Santi,,,5200,,Robots Incorporated,,542,,WHS Robotics,,132,,blue 2,,6002,,Basilisks,6109,,Punabots,,4443,,Sock Monkeys,
8231,Skyhawks,,12,,red 2,,7129,,Robo Raiders,,,9751,,RAMS,,3631,,Middle Earth Mechs,,31,,blue 2,,5206,,The Knights of Ni,4625,,Kings and Queens,,3888,,Greased Lightning,,,47,,blue 2,,9164,,Zorrobots,4443,,Sock Monkeys,,5842,,The Vampires,,59,,red 1,,4211,,The Bombers,,,6565,,Stuffed Dragons,,6987,,Hat Trix,,76,,blue 2,,5972,,Patronum Bots,9755,,HCC-2,,4130,,Robotica Santi,,92,,red 1,,8405,,Miller Robotics,,,6109,,Punabots,,6055,,GearTicks,,100,,blue 1,,9757,,Team Tulip,6134,,Black Frogs,,5110,,Wingus & Dingus,,113,,red 2,,4378,,Black Box Robotics,,,5940,,Rockin' Robots,,4997,,Masquerade,129,,red 1,,9753,,Technomancers,,,5890,,e-lemon-ators,,365,,Miracle Workerz
8339,Galaxy Robotechs,,7,,red 1,,7398,,BLUE CREW,,,6022,,To Be Determined,,4290,,High PHidelity,,26,,blue 1,,6312,,GOLDEN TIGERS,3631,,Middle Earth Mechs,,9164,,Zorrobots,,,42,,blue 1,,4625,,Kings and Queens,5215,,THAT Team,,365,,Miracle Workerz,,,61,,blue 2,,7190,,Green Girls,7953,,Vertigo,,7013,,Hot Wired,,,71,,blue 2,,5110,,Wingus & Dingus,4150,,Dark Matter,,5391,,Enigma Puzzlers,,91,,red 2,,6455,,MoHawk Warriors,,,5064,,Aperture Science,,4443,,Sock Monkeys,99,,red 2,,3480,,FrostByte,,,4997,,Masquerade,,8716,,Techaholix,,124,,blue 1,,7129,,Robo Raiders,5916,,Bo-Bots,,7182,,Mechanical Paradox,,134,,red 2,,9757,,Team Tulip,,,25,,Rock 'n Roll Robots,,542,,WHS Robotics
8405,Miller Robotics,,,5,,blue 2,,5200,,Robots Incorporated,6002,,Basilisks,,9755,,HCC-2,,23,,red 1,,6911,,James Ruse,,,7129,,Robo Raiders,,3480,,FrostByte,,48,,blue 1,,5110,,Wingus & Dingus,5257,,Eagles Xperience,,4997,,Masquerade,,62,,red 2,,5890,,e-lemon-ators,,,9164,,Zorrobots,,5972,,Patronum Bots,,80,,blue 1,,7398,,BLUE CREW,9753,,Technomancers,,8716,,Techaholix,,92,,red 2,,8231,,Skyhawks,,,6109,,Punabots,,6055,,GearTicks,102,,red 2,,6455,,MoHawk Warriors,,,8911,,Da Vinci Decoders,,4378,,Black Box Robotics,,123,,blue 1,,5064,,Aperture Science,4924,,Tuxedo Pandas,,7013,,Hot Wired,,,138,,blue 2,,4290,,High PHidelity,4174,,Atomic Theory,,5215,,THAT Team,
8498,The Evil Purple Sox,,,6,,blue 2,,4251,,Cougar Robotics,4174,,Atomic Theory,,6109,,Punabots,,28,,red 2,,9757,,Team Tulip,,,4130,,Robotica Santi,,6455,,MoHawk Warriors,40,,red 2,,4886,,Robo Junkies,,,7953,,Vertigo,,6312,,GOLDEN TIGERS,55,,red 2,,3888,,Greased Lightning,,,6002,,Basilisks,,4150,,Dark Matter,,66,,blue 2,,5842,,The Vampires,6055,,GearTicks,,4290,,High PHidelity,,84,,red 2,,5843,,AutoVortex,,,3480,,FrostByte,,542,,WHS Robotics,,112,,blue 1,,7013,,Hot Wired,5215,,THAT Team,,5916,,Bo-Bots,,122,,red 1,,5257,,Eagles Xperience,,,6134,,Black Frogs,,4443,,Sock Monkeys,,142,,blue 1,,5064,,Aperture Science,5200,,Robots Incorporated,,6022,,To Be Determined,
8716,Techaholix,,9,,red 1,,6911,,James Ruse,,,4443,,Sock Monkeys,,5916,,Bo-Bots,,30,,blue 2,,4924,,Tuxedo Pandas,6987,,Hat Trix,,5215,,THAT Team,,,44,,blue 2,,5391,,Enigma Puzzlers,6022,,To Be Determined,,6565,,Stuffed Dragons,,,64,,blue 2,,9755,,HCC-2,7591,,Voltage Imagination,,4174,,Atomic Theory,,80,,red 2,,9753,,Technomancers,,,8405,,Miller Robotics,,7398,,BLUE CREW,88,,red 2,,5890,,e-lemon-ators,,,5110,,Wingus & Dingus,,4211,,The Bombers,,99,,blue 2,,4997,,Masquerade,3480,,FrostByte,,8339,,Galaxy Robotechs,,118,,red 2,,365,,Miracle Workerz,,,6002,,Basilisks,,5843,,AutoVortex,135,,red 2,,6134,,Black Frogs,,,7182,,Mechanical Paradox,,4130,,Robotica Santi
8911,Da Vinci Decoders,,,16,,blue 2,,5215,,THAT Team,6312,,GOLDEN TIGERS,,5972,,Patronum Bots,,,24,,blue 1,,5890,,e-lemon-ators,7190,,Green Girls,,4290,,High PHidelity,,34,,red 1,,7129,,Robo Raiders,,,4150,,Dark Matter,,3491,,FIX IT,,50,,blue 2,,5916,,Bo-Bots,542,,WHS Robotics,,3113,,Some Disassembly,,73,,red 1,,3888,,Greased Lightning,,,7013,,Hot Wired,,4174,,Atomic Theory,85,,red 1,,4997,,Masquerade,,,5206,,The Knights of Ni,,7953,,Vertigo,,102,,blue 1,,4378,,Black Box Robotics,6455,,MoHawk Warriors,,8405,,Miller Robotics,,128,,red 1,,4211,,The Bombers,,,6210,,ViperBots Stryke,,5026,,Tesla Coils,,139,,blue 1,,6055,,GearTicks,5940,,Rockin' Robots,,9751,,RAMS,
9164,Zorrobots,,8,,red 2,,5843,,AutoVortex,,,7591,,Voltage Imagination,,5257,,Eagles Xperience,26,,red 2,,3631,,Middle Earth Mechs,,,8339,,Galaxy Robotechs,,6312,,GOLDEN TIGERS,,47,,blue 1,,8231,,Skyhawks,4443,,Sock Monkeys,,5842,,The Vampires,,,62,,blue 1,,5972,,Patronum Bots,5890,,e-lemon-ators,,8405,,Miller Robotics,,74,,red 1,,542,,WHS Robotics,,,6987,,Hat Trix,,365,,Miracle Workerz,86,,red 1,,5940,,Rockin' Robots,,,7152,,Robot Squad,,4174,,Atomic Theory,,109,,blue 2,,5026,,Tesla Coils,5064,,Aperture Science,,6055,,GearTicks,,119,,red 2,,3888,,Greased Lightning,,,4886,,Robo Junkies,,6022,,To Be Determined,,141,,blue 2,,4997,,Masquerade,4924,,Tuxedo Pandas,,4251,,Cougar Robotics,
9751,RAMS,,,12,,blue 1,,3631,,Middle Earth Mechs,7129,,Robo Raiders,,8231,,Skyhawks,,21,,red 2,,6565,,Stuffed Dragons,,,6109,,Punabots,,5064,,Aperture Science,,38,,blue 2,,5843,,AutoVortex,6987,,Hat Trix,,5890,,e-lemon-ators,,,49,,blue 2,,4130,,Robotica Santi,5026,,Tesla Coils,,4251,,Cougar Robotics,,,79,,blue 2,,6002,,Basilisks,4211,,The Bombers,,6312,,GOLDEN TIGERS,,,96,,blue 2,,3888,,Greased Lightning,7190,,Green Girls,,4924,,Tuxedo Pandas,,107,,red 2,,7398,,BLUE CREW,,,5391,,Enigma Puzzlers,,5257,,Eagles Xperience,115,,red 1,,5110,,Wingus & Dingus,,,9753,,Technomancers,,4174,,Atomic Theory,139,,red 2,,5940,,Rockin' Robots,,,8911,,Da Vinci Decoders,,6055,,GearTicks
9753,Technomancers,,10,,red 1,,4886,,Robo Junkies,,,7190,,Green Girls,,6455,,MoHawk Warriors,,18,,blue 2,,25,,Rock 'n Roll Robots,3491,,FIX IT,,5257,,Eagles Xperience,,36,,red 1,,5026,,Tesla Coils,,,4290,,High PHidelity,,542,,WHS Robotics,52,,red 1,,5206,,The Knights of Ni,,,5940,,Rockin' Robots,,7129,,Robo Raiders,80,,red 1,,8716,,Techaholix,,,8405,,Miller Robotics,,7398,,BLUE CREW,,95,,blue 2,,7013,,Hot Wired,4625,,Kings and Queens,,6565,,Stuffed Dragons,,,106,,blue 1,,7591,,Voltage Imagination,5842,,The Vampires,,6109,,Punabots,,,115,,blue 1,,4174,,Atomic Theory,9751,,RAMS,,5110,,Wingus & Dingus,,129,,red 2,,8231,,Skyhawks,,,5890,,e-lemon-ators,,365,,Miracle Workerz
9755,HCC-2,,5,,red 2,,6002,,Basilisks,,,5200,,Robots Incorporated,,8405,,Miller Robotics,22,,red 1,,4378,,Black Box Robotics,,,5391,,Enigma Puzzlers,,542,,WHS Robotics,,43,,blue 1,,6109,,Punabots,5940,,Rockin' Robots,,7013,,Hot Wired,,,64,,blue 1,,8716,,Techaholix,7591,,Voltage Imagination,,4174,,Atomic Theory,,76,,red 1,,4130,,Robotica Santi,,,5972,,Patronum Bots,,8231,,Skyhawks,93,,red 1,,3491,,FIX IT,,,365,,Miracle Workerz,,4290,,High PHidelity,,111,,blue 1,,5890,,e-lemon-ators,6210,,ViperBots Stryke,,4251,,Cougar Robotics,,,125,,blue 2,,6987,,Hat Trix,5206,,The Knights of Ni,,3631,,Middle Earth Mechs,,,144,,blue 1,,3113,,Some Disassembly,5026,,Tesla Coils,,7190,,Green Girls,
9757,Team Tulip,,4,,red 1,,7953,,Vertigo,,,4211,,The Bombers,,4924,,Tuxedo Pandas,28,,red 1,,8498,,The Evil Purple Sox,,,4130,,Robotica Santi,,6455,,MoHawk Warriors,41,,red 1,,7152,,Robot Squad,,,4251,,Cougar Robotics,,5206,,The Knights of Ni,,57,,blue 2,,4443,,Sock Monkeys,3480,,FrostByte,,4290,,High PHidelity,,,69,,blue 2,,6109,,Punabots,5026,,Tesla Coils,,5916,,Bo-Bots,,,81,,blue 2,,6911,,James Ruse,5257,,Eagles Xperience,,4150,,Dark Matter,,,100,,blue 2,,8231,,Skyhawks,6134,,Black Frogs,,5110,,Wingus & Dingus,,117,,red 1,,6565,,Stuffed Dragons,,,7398,,BLUE CREW,,7190,,Green Girls,134,,red 1,,8339,,Galaxy Robotechs,,,25,,Rock 'n Roll Robots,,542,,WHS Robotics
28,PolyGnomes,,3,,red 1,,8327,,Spartans,,,6389,,The LazyBotts,,5151,,Infinity,,24,,blue 2,,7550,,BuffnBlue 7550,8338,,Shatterdome,,9756,,M&T,,33,,red 1,,4530,,Infinite Resistance,,,7477,,Super 7,,4100,,Darbots 1,56,,red 2,,8221,,CUBIX^3,,,3805,,Atomic Robotics,,8609,,"Blue Crew, Too",74,,red 2,,7172,,Technical Difficulties,,,5466,,Combustible Lemons,,9746,,PML30-phi,,82,,blue 2,,2844,,Valley X Robotics,6007,,Octopi,,7023,,HexaSonics,,,100,,blue 1,,4029,,2 Bits and a Byte,6137,,RoBowties,,3595,,Schrodinger's Hat,,,125,,blue 2,,5894,,V-CUBE,6037,,W.A.G.S.,,6735,,Team Medusa,,,144,,blue 1,,7487,,Super 7,6433,,Neutrinos,,6451,,Tarpon Robotics,
201,The Robo Broncos,,16,,red 1,,9048,,Philobots,,,6037,,W.A.G.S.,,7172,,Technical Difficulties,,25,,blue 1,,8330,,AZTECH II,7477,,Super 7,,5894,,V-CUBE,,47,,red 1,,9752,,AmazKing,,,5145,,Bronz Bots,,9749,,Smurfs,61,,red 1,,8471,,The Ducks,,,7655,,The Q is Silqent,,519,,ED Too,,72,,blue 2,,6735,,Team Medusa,6935,,PARADOX,,7350,,Watts NXT?,,,90,,blue 1,,3415,,Lancers,7006,,RoboTitans,,4029,,2 Bits and a Byte,,105,,red 1,,724,,RedNek Wun,,,6433,,Neutrinos,,2844,,Valley X Robotics,,119,,blue 1,,8221,,CUBIX^3,3085,,Higgs Bots,,6007,,Octopi,,,130,,blue 2,,6133,,"The ""NUTS!""",5466,,Combustible Lemons,,5140,,WACO Aerobotics,
519,ED Too,,,2,,blue 2,,9754,,So7en,4250,,LIGHTSABERS,,4100,,Darbots 1,,19,,red 2,,9752,,AmazKing,,,4318,,Super 7,,5975,,CYBOTS,34,,red 1,,9746,,PML30-phi,,,6137,,RoBowties,,6735,,Team Medusa,,61,,blue 2,,7655,,The Q is Silqent,201,,The Robo Broncos,,8471,,The Ducks,,76,,red 1,,6081,,i^2r robotics,,,7477,,Super 7,,7006,,RoboTitans,85,,red 2,,7138,,Mech Mayhem,,,9048,,Philobots,,6433,,Neutrinos,,112,,blue 2,,7172,,Technical Difficulties,4855,,Batteries In Black,,6389,,The LazyBotts,,127,,red 1,,7487,,Super 7,,,3595,,Schrodinger's Hat,,3415,,Lancers,,137,,blue 1,,6037,,W.A.G.S.,8790,,MoHawk Elites,,3805,,Atomic Robotics,
724,RedNek Wun,,,12,,blue 1,,7350,,Watts NXT?,6451,,Tarpon Robotics,,3415,,Lancers,,29,,red 1,,7172,,Technical Difficulties,,,9747,,Carousel,,7187,,Team Axis,40,,red 2,,3085,,Higgs Bots,,,8338,,Shatterdome,,9754,,So7en,,51,,blue 2,,9756,,M&T,3595,,Schrodinger's Hat,,5151,,Infinity,,77,,red 2,,7138,,Mech Mayhem,,,8330,,AZTECH II,,4530,,Infinite Resistance,93,,red 2,,4082,,RoboSpartans,,,8790,,MoHawk Elites,,6389,,The LazyBotts,105,,red 2,,201,,The Robo Broncos,,,6433,,Neutrinos,,2844,,Valley X Robotics,,114,,blue 1,,9048,,Philobots,5096,,Monkey Madness,,6081,,i^2r robotics,,,141,,blue 2,,8609,,"Blue Crew, Too",7006,,RoboTitans,,4100,,Darbots 1,
2844,Valley X Robotics,,,6,,blue 2,,5037,,got robot?,7487,,Super 7,,6081,,i^2r robotics,,20,,red 2,,9746,,PML30-phi,,,6451,,Tarpon Robotics,,6133,,"The ""NUTS!""",,41,,blue 2,,8790,,MoHawk Elites,8609,,"Blue Crew, Too",,6510,,CyberSharks,,55,,red 1,,7477,,Super 7,,,6037,,W.A.G.S.,,3486,,Techno Warriors,70,,red 2,,3085,,Higgs Bots,,,4855,,Batteries In Black,,8471,,The Ducks,,82,,blue 1,,28,,PolyGnomes,6007,,Octopi,,7023,,HexaSonics,,,105,,blue 2,,6433,,Neutrinos,201,,The Robo Broncos,,724,,RedNek Wun,,118,,red 1,,4100,,Darbots 1,,,7655,,The Q is Silqent,,4137,,IslandBots,,142,,blue 1,,6935,,PARADOX,4029,,2 Bits and a Byte,,8338,,Shatterdome,
3085,Higgs Bots,,,7,,blue 2,,3595,,Schrodinger's Hat,7138,,Mech Mayhem,,8609,,"Blue Crew, Too",,,18,,blue 1,,9749,,Smurfs,6433,,Neutrinos,,3486,,Techno Warriors,,40,,red 1,,724,,RedNek Wun,,,8338,,Shatterdome,,9754,,So7en,60,,red 2,,9746,,PML30-phi,,,4029,,2 Bits and a Byte,,6510,,CyberSharks,70,,red 1,,2844,,Valley X Robotics,,,4855,,Batteries In Black,,8471,,The Ducks,,81,,blue 1,,4250,,LIGHTSABERS,9747,,Carousel,,7655,,The Q is Silqent,,,98,,blue 2,,3415,,Lancers,9756,,M&T,,6735,,Team Medusa,,119,,red 1,,6007,,Octopi,,,201,,The Robo Broncos,,8221,,CUBIX^3,,140,,blue 2,,6137,,RoBowties,7477,,Super 7,,5009,,Helios,
3415,Lancers,,12,,red 2,,6451,,Tarpon Robotics,,,724,,RedNek Wun,,7350,,Watts NXT?,,23,,blue 1,,8221,,CUBIX^3,5037,,got robot?,,6137,,RoBowties,,43,,red 1,,6007,,Octopi,,,3805,,Atomic Robotics,,5009,,Helios,64,,red 1,,7172,,Technical Difficulties,,,6081,,i^2r robotics,,9754,,So7en,,80,,blue 2,,8790,,MoHawk Elites,4017,,roboPandas,,8338,,Shatterdome,,,90,,blue 2,,201,,The Robo Broncos,7006,,RoboTitans,,4029,,2 Bits and a Byte,,,98,,blue 1,,3085,,Higgs Bots,9756,,M&T,,6735,,Team Medusa,,,127,,blue 2,,3595,,Schrodinger's Hat,519,,ED Too,,7487,,Super 7,,,139,,blue 1,,6510,,CyberSharks,9048,,Philobots,,9749,,Smurfs,
3486,Techno Warriors,,,1,,blue 2,,6935,,PARADOX,7006,,RoboTitans,,9746,,PML30-phi,,18,,red 2,,6433,,Neutrinos,,,3085,,Higgs Bots,,9749,,Smurfs,35,,red 1,,5466,,Combustible Lemons,,,4250,,LIGHTSABERS,,3595,,Schrodinger's Hat,,55,,blue 2,,6037,,W.A.G.S.,2844,,Valley X Robotics,,7477,,Super 7,,66,,red 2,,6137,,RoBowties,,,7187,,Team Axis,,6299,,ViperBots QuadX,89,,red 1,,5151,,Infinity,,,8338,,Shatterdome,,6510,,CyberSharks,,109,,blue 1,,7350,,Watts NXT?,8609,,"Blue Crew, Too",,9752,,AmazKing,,117,,red 2,,4029,,2 Bits and a Byte,,,5145,,Bronz Bots,,7138,,Mech Mayhem,,135,,blue 2,,5894,,V-CUBE,5096,,Monkey Madness,,4318,,Super 7,
