Teamnum,Teamname,overflow,r1RoundinfoNumberRed,r1RoundinfoNumberBlue,r1RoundinfoNameRed,r1RoundinfoNameBlue,r1AlliancemateNumberRed,r1AlliancemateNumberBlue,r1AlliancemateNameRed,r1AlliancemateNameBlue,r1Opponent1NumberRed,r1Opponent1NumberBlue,r1Opponent1NameRed,r1Opponent1NameBlue,r1Opponent2NumberRed,r1Opponent2NumberBlue,r1Opponent2NameRed,r1Opponent2NameBlue,r2RoundinfoNumberRed,r2RoundinfoNumberBlue,r2RoundinfoNameRed,r2RoundinfoNameBlue,r2AlliancemateNumberRed,r2AlliancemateNumberBlue,r2AlliancemateNameRed,r2AlliancemateNameBlue,r2Opponent1NumberRed,r2Opponent1NumberBlue,r2Opponent1NameRed,r2Opponent1NameBlue,r2Opponent2NumberRed,r2Opponent2NumberBlue,r2Opponent2NameRed,r2Opponent2NameBlue,r3RoundinfoNumberRed,r3RoundinfoNumberBlue,r3RoundinfoNameRed,r3RoundinfoNameBlue,r3AlliancemateNumberRed,r3AlliancemateNumberBlue,r3AlliancemateNameRed,r3AlliancemateNameBlue,r3Opponent1NumberRed,r3Opponent1NumberBlue,r3Opponent1NameRed,r3Opponent1NameBlue,r3Opponent2NumberRed,r3Opponent2NumberBlue,r3Opponent2NameRed,r3Opponent2NameBlue,r4RoundinfoNumberRed,r4RoundinfoNumberBlue,r4RoundinfoNameRed,r4RoundinfoNameBlue,r4AlliancemateNumberRed,r4AlliancemateNumberBlue,r4AlliancemateNameRed,r4AlliancemateNameBlue,r4Opponent1NumberRed,r4Opponent1NumberBlue,r4Opponent1NameRed,r4Opponent1NameBlue,r4Opponent2NumberRed,r4Opponent2NumberBlue,r4Opponent2NameRed,r4Opponent2NameBlue,r5RoundinfoNumberRed,r5RoundinfoNumberBlue,r5RoundinfoNameRed,r5RoundinfoNameBlue,r5AlliancemateNumberRed,r5AlliancemateNumberBlue,r5AlliancemateNameRed,r5AlliancemateNameBlue,r5Opponent1NumberRed,r5Opponent1NumberBlue,r5Opponent1NameRed,r5Opponent1NameBlue,r5Opponent2NumberRed,r5Opponent2NumberBlue,r5Opponent2NameRed,r5Opponent2NameBlue,r6RoundinfoNumberRed,r6RoundinfoNumberBlue,r6RoundinfoNameRed,r6RoundinfoNameBlue,r6AlliancemateNumberRed,r6AlliancemateNumberBlue,r6AlliancemateNameRed,r6AlliancemateNameBlue,r6Opponent1NumberRed,r6Opponent1NumberBlue,r6Opponent1NameRed,r6Opponent1NameBlue,r6Opponent2NumberRed,r6Opponent2NumberBlue,r6Opponent2NameRed,r6Opponent2NameBlue,r7RoundinfoNumberRed,r7RoundinfoNumberBlue,r7RoundinfoNameRed,r7RoundinfoNameBlue,r7AlliancemateNumberRed,r7AlliancemateNumberBlue,r7AlliancemateNameRed,r7AlliancemateNameBlue,r7Opponent1NumberRed,r7Opponent1NumberBlue,r7Opponent1NameRed,r7Opponent1NameBlue,r7Opponent2NumberRed,r7Opponent2NumberBlue,r7Opponent2NameRed,r7Opponent2NameBlue,r8RoundinfoNumberRed,r8RoundinfoNumberBlue,r8RoundinfoNameRed,r8RoundinfoNameBlue,r8AlliancemateNumberRed,r8AlliancemateNumberBlue,r8AlliancemateNameRed,r8AlliancemateNameBlue,r8Opponent1NumberRed,r8Opponent1NumberBlue,r8Opponent1NameRed,r8Opponent1NameBlue,r8Opponent2NumberRed,r8Opponent2NumberBlue,r8Opponent2NameRed,r8Opponent2NameBlue,r9RoundinfoNumberRed,r9RoundinfoNumberBlue,r9RoundinfoNameRed,r9RoundinfoNameBlue,r9AlliancemateNumberRed,r9AlliancemateNumberBlue,r9AlliancemateNameRed,r9AlliancemateNameBlue,r9Opponent1NumberRed,r9Opponent1NumberBlue,r9Opponent1NameRed,r9Opponent1NameBlue,r9Opponent2NumberRed,r9Opponent2NumberBlue,r9Opponent2NameRed,r9Opponent2NameBlue
3595,Schrodinger's Hat,,,7,,blue 1,,3085,,Higgs Bots,7138,,Mech Mayhem,,8609,,"Blue Crew, Too",,22,,red 1,,5140,,WACO Aerobotics,,,6081,,i^2r robotics,,4100,,Darbots 1,,35,,blue 2,,4250,,LIGHTSABERS,3486,,Techno Warriors,,5466,,Combustible Lemons,,51,,red 1,,5151,,Infinity,,,9756,,M&T,,724,,RedNek Wun,75,,red 2,,3805,,Atomic Robotics,,,9048,,Philobots,,4318,,Super 7,,88,,blue 1,,4855,,Batteries In Black,5975,,CYBOTS,,5037,,got robot?,,100,,red 2,,6137,,RoBowties,,,28,,PolyGnomes,,4029,,2 Bits and a Byte,,127,,blue 1,,3415,,Lancers,519,,ED Too,,7487,,Super 7,,143,,red 2,,6735,,Team Medusa,,,7655,,The Q is Silqent,,7172,,Technical Difficulties
3805,Atomic Robotics,,,14,,blue 2,,4029,,2 Bits and a Byte,7023,,HexaSonics,,7187,,Team Axis,,31,,red 1,,6510,,CyberSharks,,,9754,,So7en,,6935,,PARADOX,,43,,blue 1,,5009,,Helios,3415,,Lancers,,6007,,Octopi,,,56,,blue 1,,8609,,"Blue Crew, Too",8221,,CUBIX^3,,28,,PolyGnomes,,75,,red 1,,3595,,Schrodinger's Hat,,,9048,,Philobots,,4318,,Super 7,,84,,blue 2,,6735,,Team Medusa,4100,,Darbots 1,,8471,,The Ducks,,99,,red 2,,4137,,IslandBots,,,8338,,Shatterdome,,7006,,RoboTitans,,113,,blue 1,,6133,,"The ""NUTS!""",9749,,Smurfs,,4250,,LIGHTSABERS,,137,,red 2,,8790,,MoHawk Elites,,,519,,ED Too,,6037,,W.A.G.S.
4017,roboPandas,,,8,,blue 2,,5145,,Bronz Bots,6133,,"The ""NUTS!""",,6299,,ViperBots QuadX,,32,,red 1,,6037,,W.A.G.S.,,,7023,,HexaSonics,,8609,,"Blue Crew, Too",,42,,blue 2,,9756,,M&T,7655,,The Q is Silqent,,7487,,Super 7,,,63,,blue 1,,7138,,Mech Mayhem,5096,,Monkey Madness,,5466,,Combustible Lemons,,80,,red 1,,8338,,Shatterdome,,,8790,,MoHawk Elites,,3415,,Lancers,91,,red 1,,7550,,BuffnBlue 7550,,,6137,,RoBowties,,9754,,So7en,,102,,blue 1,,4250,,LIGHTSABERS,6451,,Tarpon Robotics,,4318,,Super 7,,122,,red 1,,7006,,RoboTitans,,,8330,,AZTECH II,,6510,,CyberSharks,138,,red 1,,5151,,Infinity,,,7187,,Team Axis,,5037,,got robot?
4029,2 Bits and a Byte,,,14,,blue 1,,3805,,Atomic Robotics,7023,,HexaSonics,,7187,,Team Axis,,27,,red 1,,4137,,IslandBots,,,8471,,The Ducks,,4250,,LIGHTSABERS,36,,red 2,,6389,,The LazyBotts,,,5037,,got robot?,,6133,,"The ""NUTS!""",,60,,blue 1,,6510,,CyberSharks,9746,,PML30-phi,,3085,,Higgs Bots,,,69,,blue 1,,9749,,Smurfs,7655,,The Q is Silqent,,4082,,RoboSpartans,,90,,red 2,,7006,,RoboTitans,,,201,,The Robo Broncos,,3415,,Lancers,,100,,blue 2,,28,,PolyGnomes,6137,,RoBowties,,3595,,Schrodinger's Hat,,117,,red 1,,3486,,Techno Warriors,,,5145,,Bronz Bots,,7138,,Mech Mayhem,142,,red 1,,8338,,Shatterdome,,,2844,,Valley X Robotics,,6935,,PARADOX
4082,RoboSpartans,,11,,red 1,,5894,,V-CUBE,,,5466,,Combustible Lemons,,4137,,IslandBots,,30,,blue 1,,8327,,Spartans,5145,,Bronz Bots,,9048,,Philobots,,,39,,blue 2,,6081,,i^2r robotics,4318,,Super 7,,6935,,PARADOX,,58,,red 1,,6735,,Team Medusa,,,9752,,AmazKing,,6299,,ViperBots QuadX,69,,red 2,,7655,,The Q is Silqent,,,4029,,2 Bits and a Byte,,9749,,Smurfs,93,,red 1,,724,,RedNek Wun,,,8790,,MoHawk Elites,,6389,,The LazyBotts,,101,,blue 2,,4100,,Darbots 1,6037,,W.A.G.S.,,8330,,AZTECH II,,128,,red 2,,7187,,Team Axis,,,6451,,Tarpon Robotics,,8338,,Shatterdome,,136,,blue 1,,9747,,Carousel,7350,,Watts NXT?,,4530,,Infinite Resistance,
4137,IslandBots,,,11,,blue 2,,5466,,Combustible Lemons,4082,,RoboSpartans,,5894,,V-CUBE,,27,,red 2,,4029,,2 Bits and a Byte,,,8471,,The Ducks,,4250,,LIGHTSABERS,,46,,blue 1,,7187,,Team Axis,8221,,CUBIX^3,,5140,,WACO Aerobotics,,,54,,blue 2,,7550,,BuffnBlue 7550,7350,,Watts NXT?,,5037,,got robot?,,65,,red 2,,8609,,"Blue Crew, Too",,,5975,,CYBOTS,,5151,,Infinity,,87,,blue 1,,6037,,W.A.G.S.,5096,,Monkey Madness,,7487,,Super 7,,99,,red 1,,3805,,Atomic Robotics,,,8338,,Shatterdome,,7006,,RoboTitans,,118,,blue 2,,7655,,The Q is Silqent,2844,,Valley X Robotics,,4100,,Darbots 1,,133,,red 2,,4855,,Batteries In Black,,,9756,,M&T,,9752,,AmazKing
4250,LIGHTSABERS,,2,,red 1,,4100,,Darbots 1,,,9754,,So7en,,519,,ED Too,,27,,blue 2,,8471,,The Ducks,4029,,2 Bits and a Byte,,4137,,IslandBots,,,35,,blue 1,,3595,,Schrodinger's Hat,3486,,Techno Warriors,,5466,,Combustible Lemons,,62,,red 1,,9048,,Philobots,,,5140,,WACO Aerobotics,,4855,,Batteries In Black,71,,red 1,,6389,,The LazyBotts,,,7487,,Super 7,,7023,,HexaSonics,,81,,blue 2,,3085,,Higgs Bots,9747,,Carousel,,7655,,The Q is Silqent,,,102,,blue 2,,4017,,roboPandas,6451,,Tarpon Robotics,,4318,,Super 7,,113,,red 2,,9749,,Smurfs,,,3805,,Atomic Robotics,,6133,,"The ""NUTS!""",129,,red 1,,9746,,PML30-phi,,,5145,,Bronz Bots,,8221,,CUBIX^3
4318,Super 7,,,5,,blue 1,,4530,,Infinite Resistance,8471,,The Ducks,,8221,,CUBIX^3,,,19,,blue 1,,5975,,CYBOTS,9752,,AmazKing,,519,,ED Too,,39,,red 1,,6935,,PARADOX,,,6081,,i^2r robotics,,4082,,RoboSpartans,50,,red 2,,6133,,"The ""NUTS!""",,,8330,,AZTECH II,,7487,,Super 7,,75,,blue 2,,9048,,Philobots,3805,,Atomic Robotics,,3595,,Schrodinger's Hat,,,83,,blue 1,,7172,,Technical Difficulties,8609,,"Blue Crew, Too",,9756,,M&T,,102,,red 2,,6451,,Tarpon Robotics,,,4017,,roboPandas,,4250,,LIGHTSABERS,123,,red 2,,6433,,Neutrinos,,,4855,,Batteries In Black,,7477,,Super 7,135,,red 2,,5096,,Monkey Madness,,,5894,,V-CUBE,,3486,,Techno Warriors
4530,Infinite Resistance,,,5,,blue 2,,4318,,Super 7,8471,,The Ducks,,8221,,CUBIX^3,,21,,red 2,,5096,,Monkey Madness,,,6007,,Octopi,,5151,,Infinity,33,,red 2,,28,,PolyGnomes,,,7477,,Super 7,,4100,,Darbots 1,,49,,blue 2,,5894,,V-CUBE,6389,,The LazyBotts,,6935,,PARADOX,,,77,,blue 2,,8330,,AZTECH II,7138,,Mech Mayhem,,724,,RedNek Wun,,94,,red 2,,5140,,WACO Aerobotics,,,9752,,AmazKing,,6451,,Tarpon Robotics,108,,red 1,,5145,,Bronz Bots,,,7655,,The Q is Silqent,,5466,,Combustible Lemons,,126,,blue 1,,6137,,RoBowties,8790,,MoHawk Elites,,7172,,Technical Difficulties,,136,,red 2,,7350,,Watts NXT?,,,4082,,RoboSpartans,,9747,,Carousel
4855,Batteries In Black,,,4,,blue 1,,6735,,Team Medusa,9749,,Smurfs,,8338,,Shatterdome,,26,,red 1,,5466,,Combustible Lemons,,,5009,,Helios,,7487,,Super 7,45,,red 1,,6451,,Tarpon Robotics,,,8327,,Spartans,,7138,,Mech Mayhem,,62,,blue 2,,5140,,WACO Aerobotics,4250,,LIGHTSABERS,,9048,,Philobots,,,70,,blue 1,,8471,,The Ducks,3085,,Higgs Bots,,2844,,Valley X Robotics,,,88,,blue 2,,3595,,Schrodinger's Hat,5975,,CYBOTS,,5037,,got robot?,,112,,red 1,,6389,,The LazyBotts,,,7172,,Technical Difficulties,,519,,ED Too,,123,,blue 1,,7477,,Super 7,6433,,Neutrinos,,4318,,Super 7,,133,,red 1,,4137,,IslandBots,,,9756,,M&T,,9752,,AmazKing
5009,Helios,,,15,,blue 2,,8330,,AZTECH II,9747,,Carousel,,9756,,M&T,,,26,,blue 1,,7487,,Super 7,4855,,Batteries In Black,,5466,,Combustible Lemons,,,43,,blue 2,,3805,,Atomic Robotics,3415,,Lancers,,6007,,Octopi,,,53,,blue 2,,8338,,Shatterdome,8327,,Spartans,,5975,,CYBOTS,,78,,red 2,,9754,,So7en,,,5096,,Monkey Madness,,5037,,got robot?,96,,red 1,,5894,,V-CUBE,,,9746,,PML30-phi,,6299,,ViperBots QuadX,104,,red 2,,8221,,CUBIX^3,,,6081,,i^2r robotics,,7138,,Mech Mayhem,,124,,blue 2,,5151,,Infinity,7350,,Watts NXT?,,7023,,HexaSonics,,140,,red 2,,7477,,Super 7,,,6137,,RoBowties,,3085,,Higgs Bots
5037,got robot?,,,6,,blue 1,,2844,,Valley X Robotics,7487,,Super 7,,6081,,i^2r robotics,,23,,red 1,,6137,,RoBowties,,,3415,,Lancers,,8221,,CUBIX^3,,36,,blue 1,,6133,,"The ""NUTS!""",6389,,The LazyBotts,,4029,,2 Bits and a Byte,,54,,red 2,,7350,,Watts NXT?,,,7550,,BuffnBlue 7550,,4137,,IslandBots,,78,,blue 2,,5096,,Monkey Madness,9754,,So7en,,5009,,Helios,,88,,red 2,,5975,,CYBOTS,,,3595,,Schrodinger's Hat,,4855,,Batteries In Black,,110,,blue 2,,6007,,Octopi,7477,,Super 7,,6510,,CyberSharks,,121,,red 2,,8471,,The Ducks,,,9752,,AmazKing,,5466,,Combustible Lemons,,138,,blue 2,,7187,,Team Axis,4017,,roboPandas,,5151,,Infinity,
5096,Monkey Madness,,,10,,blue 1,,9752,,AmazKing,6433,,Neutrinos,,6510,,CyberSharks,,21,,red 1,,4530,,Infinite Resistance,,,6007,,Octopi,,5151,,Infinity,,48,,blue 2,,8471,,The Ducks,7172,,Technical Difficulties,,7023,,HexaSonics,,63,,red 1,,5466,,Combustible Lemons,,,4017,,roboPandas,,7138,,Mech Mayhem,,78,,blue 1,,5037,,got robot?,9754,,So7en,,5009,,Helios,,87,,red 1,,7487,,Super 7,,,4137,,IslandBots,,6037,,W.A.G.S.,,103,,blue 2,,8327,,Spartans,6133,,"The ""NUTS!""",,7187,,Team Axis,,114,,red 1,,6081,,i^2r robotics,,,724,,RedNek Wun,,9048,,Philobots,135,,red 1,,4318,,Super 7,,,5894,,V-CUBE,,3486,,Techno Warriors
5140,WACO Aerobotics,,,13,,blue 1,,7655,,The Q is Silqent,6007,,Octopi,,6137,,RoBowties,,22,,red 2,,3595,,Schrodinger's Hat,,,6081,,i^2r robotics,,4100,,Darbots 1,46,,red 2,,8221,,CUBIX^3,,,4137,,IslandBots,,7187,,Team Axis,,62,,blue 1,,4855,,Batteries In Black,4250,,LIGHTSABERS,,9048,,Philobots,,,79,,blue 2,,5145,,Bronz Bots,6510,,CyberSharks,,6037,,W.A.G.S.,,94,,red 1,,4530,,Infinite Resistance,,,9752,,AmazKing,,6451,,Tarpon Robotics,,107,,blue 2,,7023,,HexaSonics,7550,,BuffnBlue 7550,,9746,,PML30-phi,,116,,red 2,,9756,,M&T,,,5975,,CYBOTS,,6299,,ViperBots QuadX,130,,red 2,,5466,,Combustible Lemons,,,6133,,"The ""NUTS!""",,201,,The Robo Broncos
5145,Bronz Bots,,,8,,blue 1,,4017,,roboPandas,6133,,"The ""NUTS!""",,6299,,ViperBots QuadX,,30,,red 1,,9048,,Philobots,,,4082,,RoboSpartans,,8327,,Spartans,,47,,blue 1,,9749,,Smurfs,201,,The Robo Broncos,,9752,,AmazKing,,59,,red 1,,8790,,MoHawk Elites,,,6451,,Tarpon Robotics,,7023,,HexaSonics,,79,,blue 1,,5140,,WACO Aerobotics,6510,,CyberSharks,,6037,,W.A.G.S.,,92,,red 2,,6081,,i^2r robotics,,,7187,,Team Axis,,7350,,Watts NXT?,108,,red 2,,4530,,Infinite Resistance,,,7655,,The Q is Silqent,,5466,,Combustible Lemons,,117,,blue 1,,7138,,Mech Mayhem,4029,,2 Bits and a Byte,,3486,,Techno Warriors,,,129,,blue 1,,8221,,CUBIX^3,4250,,LIGHTSABERS,,9746,,PML30-phi,
5151,Infinity,,,3,,blue 2,,6389,,The LazyBotts,28,,PolyGnomes,,8327,,Spartans,,,21,,blue 2,,6007,,Octopi,5096,,Monkey Madness,,4530,,Infinite Resistance,,37,,red 2,,7550,,BuffnBlue 7550,,,6433,,Neutrinos,,5894,,V-CUBE,51,,red 2,,3595,,Schrodinger's Hat,,,9756,,M&T,,724,,RedNek Wun,,65,,blue 2,,5975,,CYBOTS,8609,,"Blue Crew, Too",,4137,,IslandBots,,89,,red 2,,3486,,Techno Warriors,,,8338,,Shatterdome,,6510,,CyberSharks,,106,,blue 2,,6935,,PARADOX,6299,,ViperBots QuadX,,9048,,Philobots,,,124,,blue 1,,5009,,Helios,7350,,Watts NXT?,,7023,,HexaSonics,,138,,red 2,,4017,,roboPandas,,,7187,,Team Axis,,5037,,got robot?
5466,Combustible Lemons,,,11,,blue 1,,4137,,IslandBots,4082,,RoboSpartans,,5894,,V-CUBE,,26,,red 2,,4855,,Batteries In Black,,,5009,,Helios,,7487,,Super 7,35,,red 2,,3486,,Techno Warriors,,,4250,,LIGHTSABERS,,3595,,Schrodinger's Hat,63,,red 2,,5096,,Monkey Madness,,,4017,,roboPandas,,7138,,Mech Mayhem,,74,,blue 1,,9746,,PML30-phi,7172,,Technical Difficulties,,28,,PolyGnomes,,,86,,blue 2,,8327,,Spartans,8330,,AZTECH II,,9749,,Smurfs,,,108,,blue 2,,7655,,The Q is Silqent,4530,,Infinite Resistance,,5145,,Bronz Bots,,,121,,blue 2,,9752,,AmazKing,8471,,The Ducks,,5037,,got robot?,,130,,red 1,,5140,,WACO Aerobotics,,,6133,,"The ""NUTS!""",,201,,The Robo Broncos
5894,V-CUBE,,11,,red 2,,4082,,RoboSpartans,,,5466,,Combustible Lemons,,4137,,IslandBots,25,,red 2,,7477,,Super 7,,,201,,The Robo Broncos,,8330,,AZTECH II,,37,,blue 2,,6433,,Neutrinos,7550,,BuffnBlue 7550,,5151,,Infinity,,,49,,blue 1,,4530,,Infinite Resistance,6389,,The LazyBotts,,6935,,PARADOX,,67,,red 1,,9752,,AmazKing,,,9747,,Carousel,,6133,,"The ""NUTS!""",96,,red 2,,5009,,Helios,,,9746,,PML30-phi,,6299,,ViperBots QuadX,,111,,blue 1,,8471,,The Ducks,9754,,So7en,,8790,,MoHawk Elites,,,125,,blue 1,,28,,PolyGnomes,6037,,W.A.G.S.,,6735,,Team Medusa,,,135,,blue 1,,3486,,Techno Warriors,5096,,Monkey Madness,,4318,,Super 7,
5975,CYBOTS,,9,,red 2,,8790,,MoHawk Elites,,,7550,,BuffnBlue 7550,,7477,,Super 7,,19,,blue 2,,4318,,Super 7,9752,,AmazKing,,519,,ED Too,,38,,red 2,,8330,,AZTECH II,,,9048,,Philobots,,7350,,Watts NXT?,53,,red 2,,8327,,Spartans,,,8338,,Shatterdome,,5009,,Helios,,65,,blue 1,,5151,,Infinity,8609,,"Blue Crew, Too",,4137,,IslandBots,,88,,red 1,,5037,,got robot?,,,3595,,Schrodinger's Hat,,4855,,Batteries In Black,,97,,blue 2,,7487,,Super 7,9749,,Smurfs,,9747,,Carousel,,,116,,blue 1,,6299,,ViperBots QuadX,9756,,M&T,,5140,,WACO Aerobotics,,,134,,blue 1,,7138,,Mech Mayhem,9754,,So7en,,7023,,HexaSonics,
6007,Octopi,,13,,red 1,,6137,,RoBowties,,,5140,,WACO Aerobotics,,7655,,The Q is Silqent,,21,,blue 1,,5151,,Infinity,5096,,Monkey Madness,,4530,,Infinite Resistance,,43,,red 2,,3415,,Lancers,,,3805,,Atomic Robotics,,5009,,Helios,57,,red 2,,7187,,Team Axis,,,7006,,RoboTitans,,9749,,Smurfs,,68,,blue 1,,6451,,Tarpon Robotics,7550,,BuffnBlue 7550,,4100,,Darbots 1,,82,,red 1,,7023,,HexaSonics,,,2844,,Valley X Robotics,,28,,PolyGnomes,,110,,blue 1,,5037,,got robot?,7477,,Super 7,,6510,,CyberSharks,,119,,red 2,,3085,,Higgs Bots,,,201,,The Robo Broncos,,8221,,CUBIX^3,,132,,blue 2,,8327,,Spartans,8471,,The Ducks,,6299,,ViperBots QuadX,
6037,W.A.G.S.,,,16,,blue 1,,7172,,Technical Difficulties,201,,The Robo Broncos,,9048,,Philobots,,32,,red 2,,4017,,roboPandas,,,7023,,HexaSonics,,8609,,"Blue Crew, Too",,44,,blue 2,,7006,,RoboTitans,6299,,ViperBots QuadX,,9747,,Carousel,,,55,,blue 1,,3486,,Techno Warriors,2844,,Valley X Robotics,,7477,,Super 7,,79,,red 2,,6510,,CyberSharks,,,5145,,Bronz Bots,,5140,,WACO Aerobotics,,87,,blue 2,,4137,,IslandBots,5096,,Monkey Madness,,7487,,Super 7,,101,,red 1,,8330,,AZTECH II,,,4100,,Darbots 1,,4082,,RoboSpartans,125,,red 1,,6735,,Team Medusa,,,5894,,V-CUBE,,28,,PolyGnomes,,137,,blue 2,,519,,ED Too,8790,,MoHawk Elites,,3805,,Atomic Robotics,
6081,i^2r robotics,,6,,red 2,,7487,,Super 7,,,5037,,got robot?,,2844,,Valley X Robotics,,22,,blue 1,,4100,,Darbots 1,3595,,Schrodinger's Hat,,5140,,WACO Aerobotics,,,39,,blue 1,,4082,,RoboSpartans,4318,,Super 7,,6935,,PARADOX,,,64,,blue 1,,9754,,So7en,3415,,Lancers,,7172,,Technical Difficulties,,76,,red 2,,519,,ED Too,,,7477,,Super 7,,7006,,RoboTitans,92,,red 1,,5145,,Bronz Bots,,,7187,,Team Axis,,7350,,Watts NXT?,,104,,blue 1,,7138,,Mech Mayhem,8221,,CUBIX^3,,5009,,Helios,,114,,red 2,,5096,,Monkey Madness,,,724,,RedNek Wun,,9048,,Philobots,131,,red 1,,8330,,AZTECH II,,,7550,,BuffnBlue 7550,,6389,,The LazyBotts
6133,"The ""NUTS!""",,8,,red 1,,6299,,ViperBots QuadX,,,5145,,Bronz Bots,,4017,,roboPandas,,20,,blue 2,,6451,,Tarpon Robotics,9746,,PML30-phi,,2844,,Valley X Robotics,,,36,,blue 2,,5037,,got robot?,6389,,The LazyBotts,,4029,,2 Bits and a Byte,,50,,red 1,,4318,,Super 7,,,8330,,AZTECH II,,7487,,Super 7,,67,,blue 2,,9747,,Carousel,5894,,V-CUBE,,9752,,AmazKing,,95,,red 1,,7477,,Super 7,,,6935,,PARADOX,,8221,,CUBIX^3,103,,red 1,,7187,,Team Axis,,,8327,,Spartans,,5096,,Monkey Madness,,113,,blue 2,,3805,,Atomic Robotics,9749,,Smurfs,,4250,,LIGHTSABERS,,,130,,blue 1,,201,,The Robo Broncos,5466,,Combustible Lemons,,5140,,WACO Aerobotics,
6137,RoBowties,,13,,red 2,,6007,,Octopi,,,5140,,WACO Aerobotics,,7655,,The Q is Silqent,23,,red 2,,5037,,got robot?,,,3415,,Lancers,,8221,,CUBIX^3,,34,,blue 1,,6735,,Team Medusa,519,,ED Too,,9746,,PML30-phi,,52,,red 2,,6433,,Neutrinos,,,9747,,Carousel,,4100,,Darbots 1,66,,red 1,,3486,,Techno Warriors,,,7187,,Team Axis,,6299,,ViperBots QuadX,,91,,blue 1,,9754,,So7en,4017,,roboPandas,,7550,,BuffnBlue 7550,,100,,red 1,,3595,,Schrodinger's Hat,,,28,,PolyGnomes,,4029,,2 Bits and a Byte,,126,,blue 2,,4530,,Infinite Resistance,8790,,MoHawk Elites,,7172,,Technical Difficulties,,,140,,blue 1,,3085,,Higgs Bots,7477,,Super 7,,5009,,Helios,
6299,ViperBots QuadX,,8,,red 2,,6133,,"The ""NUTS!""",,,5145,,Bronz Bots,,4017,,roboPandas,,28,,blue 1,,6389,,The LazyBotts,7350,,Watts NXT?,,7655,,The Q is Silqent,,44,,red 1,,9747,,Carousel,,,7006,,RoboTitans,,6037,,W.A.G.S.,,58,,blue 2,,9752,,AmazKing,4082,,RoboSpartans,,6735,,Team Medusa,,,66,,blue 2,,7187,,Team Axis,6137,,RoBowties,,3486,,Techno Warriors,,,96,,blue 2,,9746,,PML30-phi,5009,,Helios,,5894,,V-CUBE,,106,,red 1,,9048,,Philobots,,,6935,,PARADOX,,5151,,Infinity,,116,,blue 2,,5975,,CYBOTS,9756,,M&T,,5140,,WACO Aerobotics,,132,,red 2,,8471,,The Ducks,,,8327,,Spartans,,6007,,Octopi
6389,The LazyBotts,,,3,,blue 1,,5151,,Infinity,28,,PolyGnomes,,8327,,Spartans,,,28,,blue 2,,6299,,ViperBots QuadX,7350,,Watts NXT?,,7655,,The Q is Silqent,,36,,red 1,,4029,,2 Bits and a Byte,,,5037,,got robot?,,6133,,"The ""NUTS!""",49,,red 1,,6935,,PARADOX,,,5894,,V-CUBE,,4530,,Infinite Resistance,71,,red 2,,4250,,LIGHTSABERS,,,7487,,Super 7,,7023,,HexaSonics,,93,,blue 2,,8790,,MoHawk Elites,4082,,RoboSpartans,,724,,RedNek Wun,,112,,red 2,,4855,,Batteries In Black,,,7172,,Technical Difficulties,,519,,ED Too,,120,,blue 1,,9746,,PML30-phi,8609,,"Blue Crew, Too",,9754,,So7en,,,131,,blue 2,,7550,,BuffnBlue 7550,6081,,i^2r robotics,,8330,,AZTECH II,
6433,Neutrinos,,10,,red 1,,6510,,CyberSharks,,,5096,,Monkey Madness,,9752,,AmazKing,18,,red 1,,3486,,Techno Warriors,,,3085,,Higgs Bots,,9749,,Smurfs,,37,,blue 1,,5894,,V-CUBE,7550,,BuffnBlue 7550,,5151,,Infinity,,52,,red 1,,6137,,RoBowties,,,9747,,Carousel,,4100,,Darbots 1,,73,,blue 1,,9756,,M&T,8327,,Spartans,,8221,,CUBIX^3,,,85,,blue 2,,9048,,Philobots,7138,,Mech Mayhem,,519,,ED Too,,,105,,blue 1,,2844,,Valley X Robotics,201,,The Robo Broncos,,724,,RedNek Wun,,123,,red 1,,4318,,Super 7,,,4855,,Batteries In Black,,7477,,Super 7,144,,red 1,,6451,,Tarpon Robotics,,,28,,PolyGnomes,,7487,,Super 7
